SA2_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
201011001,4098,4245,8348,5701,5952,11658,8188,8648,16835,317,306,625,427,413,841,623,585,1213,698,660,1360,972,908,1875,1453,1364,2815,382,364,752,485,438,912,668,648,1316,226,240,462,368,352,716,498,561,1060,436,491,933,700,787,1487,1011,1075,2089,585,649,1229,763,841,1600,1140,1320,2457,600,626,1229,763,848,1612,1026,1100,2124,450,445,897,580,639,1216,725,861,1583,249,263,512,419,448,865,625,690,1312,123,138,260,189,212,400,341,354,694,34,59,97,40,76,123,73,98,172,17,18,36,26,47,71,9,11,24,36,29,65,39,53,90,84,109,190,0,0,0,0,4,4,7,3,7,0,4,6,0,6,4,0,3,3,40,33,69,40,53,97,88,115,198,3588,3712,7296,4713,4963,9674,6640,7037,13677,378,394,768,721,717,1442,1299,1350,2649,3771,3885,7657,4951,5167,10115,6828,7273,14103,206,229,439,507,540,1044,1095,1108,2200,3797,3914,7713,5116,5366,10483,7324,7778,15097
201011002,5684,6387,12076,5692,6355,12046,5711,6420,12131,336,329,668,330,276,607,267,224,490,716,678,1396,677,689,1367,658,630,1290,544,487,1025,454,433,888,426,401,829,425,499,925,390,398,790,330,388,719,629,670,1300,665,713,1381,673,654,1326,708,819,1530,637,742,1380,616,728,1340,793,902,1690,775,887,1665,779,882,1660,707,765,1476,727,820,1549,765,884,1650,432,540,979,569,681,1253,670,824,1495,297,428,719,338,448,787,399,537,937,104,264,370,124,266,386,128,263,394,19,26,48,30,48,83,15,9,23,41,27,74,27,33,63,64,44,116,3,0,3,4,0,8,3,4,8,0,0,0,0,0,0,7,0,3,50,27,81,32,36,72,78,47,125,4809,5431,10240,4643,5225,9864,4646,5292,9931,604,678,1285,655,703,1354,775,837,1612,5106,5810,10916,4922,5555,10481,4964,5634,10595,326,343,673,400,407,808,456,489,952,5144,5854,10999,5025,5637,10663,5125,5790,10907
201011005,3317,3281,6604,3613,3541,7153,3594,3664,7261,223,217,446,221,207,430,190,172,357,480,406,891,533,530,1060,561,587,1148,308,307,616,274,253,526,270,276,546,359,297,652,374,276,650,228,171,398,302,305,605,320,286,604,296,272,571,421,465,885,426,491,922,414,457,870,435,496,935,459,472,937,510,534,1044,433,434,864,492,491,983,483,509,991,241,224,471,342,341,685,451,452,897,91,109,196,131,150,283,178,174,352,20,28,45,34,43,74,28,54,85,12,13,30,20,18,39,3,0,8,21,15,37,36,18,58,39,44,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,21,15,37,36,18,58,42,44,83,2859,2873,5733,2962,2908,5876,3076,3148,6225,341,307,646,384,372,754,354,380,732,3095,3081,6174,3241,3194,6437,3319,3389,6702,109,99,212,146,128,275,124,142,257,3057,3059,6115,3223,3178,6403,3306,3394,6703
201011006,2754,2999,5749,3425,3660,7082,5111,5553,10661,187,216,407,268,210,476,382,426,804,422,468,890,481,484,963,784,683,1464,232,211,442,282,252,532,273,311,586,211,194,404,249,268,516,394,427,820,328,358,690,465,496,961,959,1011,1975,368,407,776,419,448,861,616,669,1287,384,409,792,415,469,887,546,577,1122,312,348,659,356,428,779,465,556,1022,182,199,387,314,332,643,393,482,876,103,138,241,129,183,315,210,258,470,20,44,63,47,96,146,86,147,232,0,4,3,4,0,7,9,0,12,27,38,64,45,67,112,110,117,224,6,7,17,0,4,5,3,0,8,0,4,4,0,0,3,0,0,0,30,48,81,51,72,123,118,114,232,2416,2631,5047,3001,3156,6154,4316,4719,9041,193,219,411,247,284,529,564,603,1171,2549,2773,5324,3128,3311,6444,4469,4902,9371,66,97,163,139,147,277,407,404,817,2528,2739,5268,3144,3341,6486,4602,5003,9604
201011007,1954,1830,3782,2024,1909,3935,2172,2055,4230,144,109,256,105,113,216,125,99,223,344,321,659,346,309,655,338,326,668,172,140,313,165,153,313,188,160,345,74,72,148,108,86,201,118,94,213,144,161,302,135,171,308,161,180,340,317,308,628,272,273,543,257,260,515,317,332,652,338,322,659,346,341,685,263,234,500,291,286,574,305,331,633,125,101,231,191,147,338,240,197,433,40,44,83,62,48,103,85,61,148,8,3,7,10,12,28,13,12,27,4,6,11,0,0,5,0,0,0,16,18,35,33,32,59,42,38,82,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,38,33,32,59,46,38,85,1687,1599,3287,1724,1665,3387,1953,1860,3806,167,148,314,168,136,301,172,153,330,1807,1715,3524,1870,1776,3642,2077,1967,4044,54,43,91,48,46,94,46,57,102,1788,1681,3465,1854,1762,3617,2065,1954,4025
201011008,6803,7412,14210,7039,7594,14633,7473,7863,15333,547,510,1053,546,509,1055,462,454,917,882,824,1710,947,857,1799,1024,893,1917,483,539,1021,440,467,907,471,452,928,523,486,1000,463,448,911,467,455,921,881,932,1812,948,986,1936,1125,1102,2230,862,892,1755,818,875,1691,820,925,1748,802,816,1618,815,862,1682,861,916,1780,696,838,1535,775,850,1626,849,891,1739,615,758,1367,675,845,1525,735,873,1602,397,564,959,459,576,1034,464,573,1041,131,249,379,153,318,473,186,331,514,16,23,40,24,26,50,3,4,10,104,134,241,140,191,326,193,205,398,17,18,33,6,9,13,11,9,19,0,10,10,4,8,10,6,6,11,127,158,283,150,203,355,211,223,439,5933,6472,12411,5965,6366,12327,6383,6617,13000,481,554,1035,519,610,1133,619,726,1347,6242,6833,13078,6285,6767,13055,6629,7000,13628,229,249,476,311,331,642,384,412,796,6178,6817,12993,6316,6834,13150,6777,7171,13944
201011481,4106,4523,8635,4308,4815,9123,4580,5111,9691,304,286,590,280,279,554,232,262,496,473,492,967,505,455,957,553,478,1037,284,283,567,256,249,502,216,218,432,376,372,742,349,373,726,303,313,611,572,610,1180,632,653,1279,697,727,1426,509,589,1096,504,590,1097,568,614,1183,521,551,1076,517,576,1096,493,590,1081,471,506,979,522,595,1120,577,657,1239,311,362,668,402,507,910,520,598,1114,212,299,515,247,339,586,301,389,686,81,170,249,95,198,297,129,264,390,5,13,20,11,7,23,3,0,7,51,57,113,71,73,143,114,114,224,3,0,3,0,8,9,0,5,5,0,0,3,0,0,0,0,0,0,57,63,119,71,78,150,118,117,238,3582,3862,7444,3635,4006,7638,3852,4333,8188,339,393,737,365,439,805,480,522,1004,3759,4122,7887,3820,4246,8074,4054,4572,8623,154,161,312,184,223,410,258,261,520,3772,4134,7907,3874,4316,8187,4120,4640,8754
201011482,6370,7023,13398,6656,7302,13960,7099,7648,14750,434,450,884,469,458,931,446,429,871,894,886,1782,896,917,1814,951,935,1887,422,456,874,462,404,864,424,394,822,437,471,904,388,442,828,373,377,752,781,832,1611,848,876,1718,901,920,1828,872,948,1821,823,896,1717,915,1006,1916,934,1014,1947,925,1052,1976,907,994,1905,781,835,1616,835,933,1769,905,1024,1929,460,552,1010,655,680,1334,776,845,1623,265,392,655,284,422,698,373,472,846,85,198,285,78,222,304,125,245,367,14,17,30,21,25,45,4,6,4,43,57,105,75,77,150,85,79,165,0,3,5,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,47,62,110,77,79,152,88,84,168,5623,6185,11808,5785,6279,12060,6199,6640,12844,478,547,1024,513,614,1127,630,726,1363,5904,6534,12442,6042,6621,12664,6506,6983,13490,236,258,494,277,322,593,334,367,700,5904,6527,12429,6110,6643,12753,6602,7095,13696
201011483,5006,5405,10415,5434,5884,11312,5923,6299,12225,372,367,743,413,378,793,343,308,650,629,593,1227,679,661,1340,773,728,1495,367,361,724,306,343,642,367,337,705,539,588,1128,608,615,1219,450,450,903,779,816,1586,836,872,1711,985,955,1947,664,681,1344,713,754,1467,734,820,1560,579,648,1220,567,666,1228,678,756,1435,525,628,1155,601,709,1312,601,683,1285,318,371,680,439,507,939,545,698,1242,188,240,431,201,256,453,313,374,689,62,113,178,72,126,199,137,186,320,25,35,60,33,41,69,7,4,17,65,87,146,62,85,148,93,137,227,0,0,5,4,3,9,5,4,11,0,0,6,3,0,3,0,4,7,67,91,154,69,96,161,98,143,248,4220,4648,8865,4425,4824,9255,4782,5217,10000,535,508,1043,629,626,1257,790,754,1545,4472,4925,9395,4704,5069,9769,5066,5459,10520,325,281,606,385,416,804,502,510,1007,4480,4929,9410,4739,5142,9885,5171,5614,10781
201011484,5870,6500,12376,6064,6850,12916,6122,6965,13086,441,398,835,434,409,840,343,382,733,721,645,1365,722,676,1401,749,687,1438,415,401,820,369,371,738,331,318,655,529,555,1083,520,609,1131,466,484,944,878,918,1791,945,966,1905,969,1056,2022,683,757,1440,685,733,1419,719,804,1520,697,776,1474,718,825,1547,646,767,1415,633,771,1404,616,814,1434,746,839,1581,462,550,1013,584,732,1316,644,861,1504,325,498,819,331,485,813,389,522,914,101,231,332,141,239,375,127,252,373,12,15,29,12,12,25,4,9,12,75,78,160,130,124,259,152,167,319,13,14,23,10,7,13,12,8,13,0,0,3,0,3,7,8,3,9,87,97,185,144,135,277,168,178,346,4941,5526,10460,5015,5684,10698,5065,5714,10783,479,526,1009,514,595,1113,602,708,1313,5287,5934,11219,5262,6057,11316,5368,6126,11494,218,212,431,306,294,600,331,348,678,5230,5862,11094,5341,6119,11456,5451,6178,11628
