SA2_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
201011001,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,0,0,5,3,0,0,15,1436,2247,759,36,4481,1092,183,175,5933
201011002,7,10,4,8,29,7,3,0,0,7,10,4,25,48,3,4,0,0,7,10,0,0,21,1381,1147,464,41,3032,1778,226,247,5284
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,5,0,3,12,804,924,247,17,1989,484,51,86,2604
201011006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,5,5,0,0,13,1076,1188,573,49,2887,826,153,138,4006
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,641,100,12,1174,198,22,26,1422
201011008,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,1533,1343,939,83,3904,2085,216,318,6515
201011481,0,0,0,0,5,5,0,4,0,9,12,0,29,48,0,0,0,0,0,7,0,0,10,1038,801,514,39,2390,1513,206,212,4321
201011482,4,4,0,0,7,3,0,0,0,4,4,0,0,13,0,3,0,0,9,0,0,0,10,1622,1726,545,51,3942,1723,190,209,6074
201011483,6,0,0,0,3,0,3,0,0,6,0,0,12,14,0,0,0,0,0,6,0,0,9,1242,1140,605,52,3044,1556,265,226,5090
201011484,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1255,961,956,66,3235,2300,241,333,6113
201021009,3,0,0,6,9,0,4,0,3,9,12,0,7,25,0,0,0,0,0,0,0,0,3,716,776,252,16,1762,577,47,166,2550
