SA2_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
201011001,669,1134,250,17,2075,345,66,52,2545,0,0,0,0,3,8,4,0,13,7,7,0,0,18,4,3,3,31,8,11,8,0,25,13,7,3,47,40,9,18,3,67,142,4,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,40,9,18,3,67,146,4,15,228,0,0,0,0,4,3,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,5,0,0,6,3,0,7,15,0,0,0,0,0,0,0,0,0,725,1157,274,24,2176,514,77,73,2841,928,1520,407,26,2875,501,79,97,3553,13,11,17,0,42,31,10,0,83,17,6,26,0,51,35,27,9,122,31,18,43,0,94,59,34,14,204,41,11,22,0,74,143,8,19,242,0,0,0,0,0,0,0,0,0,0,0
201011002,1042,1124,441,33,2644,1124,243,151,4154,41,17,32,0,89,159,18,13,281,21,12,16,0,39,36,12,7,93,59,25,43,0,130,198,21,17,375,59,12,15,3,96,216,29,17,360,5,0,0,0,5,11,0,5,23,4,0,0,0,6,0,3,0,15,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,66,12,17,3,102,230,41,22,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,6,3,0,0,13,0,0,0,22,6,3,0,0,13,3,0,8,29,0,0,0,0,0,4,0,0,8,1184,1172,506,35,2893,1559,307,201,4967,972,995,368,35,2372,1011,199,187,3772,129,91,58,3,274,232,36,36,581,55,30,22,3,117,63,11,11,202,187,119,77,6,390,291,50,47,779,32,14,11,0,52,170,18,35,273,8,0,3,0,12,27,6,10,56,0,0
201011005,654,829,159,14,1662,308,91,55,2104,3,0,0,0,6,9,0,0,22,0,9,0,0,15,0,0,0,19,8,9,0,0,17,13,0,0,40,7,5,5,0,16,32,4,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,7,5,5,0,16,35,4,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,673,839,165,18,1697,357,96,57,2209,672,868,189,16,1740,373,87,131,2327,8,8,0,0,20,20,3,13,52,0,0,0,0,0,0,0,0,10,9,10,0,0,19,20,3,11,62,5,0,0,0,0,15,0,0,23,0,0,0,0,0,0,0,0,0,0,0
201011006,505,670,274,16,1466,288,66,61,1879,29,0,3,0,31,82,0,0,110,0,0,0,0,0,0,0,0,0,29,0,3,0,31,78,0,0,108,5,0,0,0,5,40,0,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,5,5,0,4,0,13,36,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,536,675,284,11,1506,407,69,67,2052,645,720,324,17,1707,433,87,96,2319,41,56,34,10,140,83,9,9,237,0,0,0,0,0,0,0,0,0,41,56,34,10,140,83,9,9,237,0,0,0,0,0,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0
201011007,327,580,96,0,1011,144,20,36,1210,0,4,0,0,3,0,0,7,11,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,588,96,0,1014,145,20,44,1226,373,583,87,7,1049,169,19,63,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011008,1374,1320,784,50,3532,1255,201,141,5115,26,9,23,8,59,241,7,20,336,0,0,0,0,0,0,0,0,0,27,9,23,8,59,241,7,20,335,26,11,37,0,72,213,11,11,304,4,3,0,0,8,9,3,4,25,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,30,16,34,0,81,225,8,16,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,1440,1340,846,54,3680,1719,219,178,5792,1242,1306,697,69,3311,1278,164,236,4993,98,59,56,3,205,418,18,66,707,0,0,0,0,3,0,0,0,8,97,56,57,3,211,420,18,66,719,17,9,24,0,51,171,4,27,249,4,0,0,0,6,12,0,3,27,0,0
201011481,762,721,438,38,1960,906,188,98,3152,21,12,26,4,61,80,17,8,170,12,3,3,3,24,18,7,7,50,28,17,35,8,84,98,23,9,221,32,12,30,3,69,95,21,7,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,32,12,30,3,69,96,21,7,204,10,4,0,0,10,27,0,28,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0,0,10,33,0,29,75,0,0,0,0,0,0,0,0,0,833,757,498,52,2133,1133,236,148,3650,730,731,436,33,1929,946,181,167,3230,132,35,29,8,211,276,27,32,551,13,7,7,0,25,12,3,6,53,150,39,42,7,237,292,34,40,605,8,7,5,0,15,20,0,3,42,0,0,0,0,0,0,0,0,0,0,0
201011482,1185,1540,463,35,3223,985,142,106,4464,80,31,35,8,145,277,19,13,462,18,14,8,0,39,15,7,0,56,89,39,41,10,183,294,29,13,517,30,8,27,4,68,169,12,16,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,30,8,27,4,68,172,12,16,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,5,0,0,0,7,5,0,0,7,0,0,0,0,0,0,0,0,0,1307,1586,529,50,3481,1451,187,140,5255,1292,1566,470,35,3363,1105,175,186,4832,61,26,33,0,128,248,26,30,431,16,14,13,0,41,41,5,4,98,82,39,45,5,165,290,33,35,522,11,4,7,0,30,47,5,7,89,0,0,0,0,0,0,0,0,0,0,0
201011483,971,992,465,39,2464,759,243,132,3604,59,24,22,0,117,150,47,13,330,8,3,6,0,15,9,8,0,31,68,29,26,6,130,160,54,13,362,36,5,15,0,52,107,21,10,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,36,5,15,0,52,107,21,10,192,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,4,0,10,18,0,0,0,0,0,0,0,0,0,1074,1027,501,49,2654,1033,322,162,4168,926,986,427,37,2375,878,228,189,3676,110,81,57,12,269,205,71,43,592,11,3,5,0,23,12,9,3,44,124,90,67,14,292,216,78,48,634,35,8,14,0,62,117,20,15,210,0,0,0,0,0,0,0,0,0,0,0
201011484,933,975,657,55,2622,1060,212,195,4084,29,16,17,4,62,140,12,11,220,0,0,0,0,9,8,0,0,17,26,16,21,4,71,148,12,11,236,166,27,116,9,314,707,57,67,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,3,166,27,116,9,314,710,57,67,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,0,0,0,0,0,6,0,3,5,0,0,0,0,0,0,0,0,0,1129,1021,792,68,3004,1915,283,271,5478,842,767,657,49,2321,1103,158,209,3796,270,230,232,20,750,1012,103,101,1959,0,3,7,0,11,7,4,0,20,271,232,236,20,758,1018,102,99,1977,11,6,20,6,38,45,3,26,115,0,0,0,0,0,0,0,0,0,0,0
